lat,lon,Date/time,Position,Naut miles run,Avg speed,Wind from/ knots,Barom,Visib,Wave height,Air temp,Dewpoint,Water temp
-36.2,13.3,2018-Feb-12 00:00,S&nbsp;36&deg;12' E&nbsp;013&deg;18',41,6.8,140  / 21,1022.8,2.2,,17.7,12.4,19.9
-36.8,12.9,2018-Feb-11 18:00,S&nbsp;36&deg;48' E&nbsp;012&deg;54',41,6.8,140  / 19,1023.6,27.0,,17.2,9.9,19.2
-37.4,12.5,2018-Feb-11 12:00,S&nbsp;37&deg;24' E&nbsp;012&deg;30',81,13.6,160  / 13,1024.2,27.0,,16.4,6.5,19.8
-38.6,11.7,2018-Feb-11 06:00,S&nbsp;38&deg;36' E&nbsp;011&deg;42',35,5.9,090  / 1,1024.7,10.8,,14.4,4.9,17.8
-39.1,11.3,2018-Feb-11 00:00,S&nbsp;39&deg;06' E&nbsp;011&deg;18',55,9.2,130  / 11,1023.4,5.4,,13.7,3.5,17.7
-39.9,10.7,2018-Feb-10 18:00,S&nbsp;39&deg;54' E&nbsp;010&deg;42',48,8.0,200  / 17,1020.6,10.8,,12.7,3.4,18.2
-40.3,11.6,2018-Feb-10 12:00,S&nbsp;40&deg;18' E&nbsp;011&deg;36',62,10.3,230  / 33,1013.8,10.8,,12.5,4.2,13.9
-40.9,10.5,2018-Feb-10 06:00,S&nbsp;40&deg;54' E&nbsp;010&deg;30',40,6.6,200  / 25,1009.2,10.8,,12.6,4.3,13.5
-41.3,9.8,2018-Feb-10 00:00,S&nbsp;41&deg;18' E&nbsp;009&deg;48',55,9.2,220  / 34,1005.5,10.8,,10.1,4.5,12.4
-42.1,9.2,2018-Feb-09 18:00,S&nbsp;42&deg;06' E&nbsp;009&deg;12',67,11.2,200  / 33,1005.1,5.4,,9.5,0.9,11.6
-43.0,8.3,2018-Feb-09 12:00,S&nbsp;43&deg;00' E&nbsp;008&deg;18',86,14.4,180  / 31,1006.6,10.8,,9.3,1.9,10.9
-44.2,7.2,2018-Feb-09 06:00,S&nbsp;44&deg;12' E&nbsp;007&deg;12',93,15.5,170  / 29,1008.0,5.4,,8.0,2.2,8.8
-45.5,6.0,2018-Feb-09 00:00,S&nbsp;45&deg;30' E&nbsp;006&deg;00',170,14.2,160  / 21,1008.5,5.4,,7.5,1.3,7.7
-47.9,3.8,2018-Feb-08 12:00,S&nbsp;47&deg;54' E&nbsp;003&deg;48',84,14.0,220  / 20,,27.0,,8.2,-2.2,-65.0
-49.0,2.5,2018-Feb-08 06:00,S&nbsp;49&deg;00' E&nbsp;002&deg;30',79,13.1,220  / 24,994.8,27.0,,5.3,0.3,4.9
-50.1,1.4,2018-Feb-08 00:00,S&nbsp;50&deg;06' E&nbsp;001&deg;24',85,14.1,250  / 37,987.2,5.4,,5.1,0.8,4.8
-51.2,0.0,2018-Feb-07 18:00,S&nbsp;51&deg;12' E&nbsp;000&deg;00',54,9.0,260  / 21,977.8,5.4,,3.7,3.0,3.5
-52.1,0.0,2018-Feb-07 12:00,S&nbsp;52&deg;06' E&nbsp;000&deg;00',60,10.0,280  / 38,969.7,5.4,,4.7,-1.3,2.6
-53.1,0.0,2018-Feb-07 06:00,S&nbsp;53&deg;06' E&nbsp;000&deg;00',75,12.4,300  / 31,970.4,2.2,,4.0,3.0,2.3
-53.9,1.6,2018-Feb-07 00:00,S&nbsp;53&deg;54' E&nbsp;001&deg;36',64,10.7,270  / 38,970.5,,,3.3,4.7,1.1
-54.3,3.3,2018-Feb-06 18:00,S&nbsp;54&deg;18' E&nbsp;003&deg;18',0,0.0,260  / 16,978.1,5.4,,2.4,1.4,1.2
-54.3,3.3,2018-Feb-06 12:00,S&nbsp;54&deg;18' E&nbsp;003&deg;18',7,1.2,250  / 33,,,,,,
-54.4,3.4,2018-Feb-06 06:00,S&nbsp;54&deg;24' E&nbsp;003&deg;24',0,0.0,240  / 33,967.4,1.1,,2.5,1.5,1.3
-54.4,3.4,2018-Feb-06 00:00,S&nbsp;54&deg;24' E&nbsp;003&deg;24',9,1.5,230  / 25,959.8,0.5,,2.3,1.3,1.3
-54.3,3.2,2018-Feb-05 18:00,S&nbsp;54&deg;18' E&nbsp;003&deg;12',74,12.3,280  / 30,,0.5,,,,
-54.3,1.1,2018-Feb-05 12:00,S&nbsp;54&deg;18' E&nbsp;001&deg;06',84,14.0,300  / 19,956.6,5.4,,2.6,1.6,1.2
-54.3,-1.3,2018-Feb-05 06:00,S&nbsp;54&deg;18' W&nbsp;001&deg;18',84,14.0,290  / 21,958.8,5.4,,1.9,0.9,1.4
-54.3,-3.7,2018-Feb-05 00:00,S&nbsp;54&deg;18' W&nbsp;003&deg;42',91,15.2,260  / 28,962.9,2.2,,3.3,0.2,1.7
-54.3,-6.3,2018-Feb-04 18:00,S&nbsp;54&deg;18' W&nbsp;006&deg;18',84,14.0,270  / 15,966.5,5.4,,3.6,2.6,1.9
-54.3,-8.7,2018-Feb-04 12:00,S&nbsp;54&deg;18' W&nbsp;008&deg;42',88,14.6,240  / 3,969.1,5.4,,5.4,2.6,2.2
-54.2,-11.2,2018-Feb-04 06:00,S&nbsp;54&deg;12' W&nbsp;011&deg;12',88,14.6,250  / 13,969.9,2.2,,4.0,4.1,3.0
-54.3,-13.7,2018-Feb-04 00:00,S&nbsp;54&deg;18' W&nbsp;013&deg;42',88,14.6,270  / 17,969.9,,,4.5,3.5,3.0
-54.3,-16.2,2018-Feb-03 18:00,S&nbsp;54&deg;18' W&nbsp;016&deg;12',91,15.2,290  / 19,971.2,2.2,,5.0,5.4,3.3
