0 ; 1511958570908 ; -3352.145 ;  1812.448 ; lastgasp.mi ; 2017-332-2
1 ; 1511960055953 ; -3352.361 ;  1812.394 ; lastgasp.mi ; 2017-332-2
2 ; 1511960476073 ; -3352.404 ;  1812.384 ; lastgasp.mi ; 2017-332-3
3 ; 1512024636231 ; -3354.095 ;  1824.913 ; initial.mi ; 2017-333-4
4 ; 1512024636227 ; -3354.095 ;  1824.913 ; initial.mi ; 2017-333-4
5 ; 1512030213032 ; -3352.352 ;  1815.894 ; ini0.mi ; 2017-333-6
6 ; 1512032331910 ; -3352.340 ;  1816.355 ; ini0.mi ; unavailable
7 ; 1512036399076 ; -3352.416 ;  1816.684 ; storm.mi ; 2017-333-9
8 ; 1512036399220 ; -3352.416 ;  1816.684 ; storm.mi ; 2017-333-9
9 ; 1512041761014 ; -3352.168 ;  1817.163 ; storm.mi ; 2017-333-10
10 ; 1512043507071 ; -3352.068 ;  1817.154 ; storm.mi ; 2017-333-10
11 ; 1512046751473 ; -3351.876 ;  1817.269 ; storm.mi ; 2017-333-11
12 ; 1512046750780 ; -3351.876 ;  1817.269 ; storm.mi ; 2017-333-11
13 ; 1512051166452 ; -3351.667 ;  1817.212 ; storm.mi ; 2017-333-11
14 ; 1512051166852 ; -3351.667 ;  1817.212 ; storm.mi ; 2017-333-11
15 ; 1512054116895 ; -3351.677 ;  1816.952 ; storm.mi ; 2017-333-11
16 ; 1512054117585 ; -3351.677 ;  1816.952 ; storm.mi ; 2017-333-11
17 ; 1512055707941 ; -3351.640 ;  1816.908 ; storm.mi ; 2017-333-11
18 ; 1512058536677 ; -3351.680 ;  1816.665 ; storm.mi ; 2017-333-12
19 ; 1512058536760 ; -3351.680 ;  1816.665 ; storm.mi ; 2017-333-12
20 ; 1512062280740 ; -3351.680 ;  1816.388 ; storm.mi ; 2017-333-12
21 ; 1512064981513 ; -3351.761 ;  1816.078 ; storm.mi ; 2017-333-12
22 ; 1512064981744 ; -3351.761 ;  1816.078 ; storm.mi ; 2017-333-12
23 ; 1512070058731 ; -3351.835 ;  1815.575 ; storm.mi ; 2017-333-12
24 ; 1512070057901 ; -3351.835 ;  1815.575 ; storm.mi ; 2017-333-12
25 ; 1512073288406 ; -3351.956 ;  1815.176 ; storm.mi ; 2017-333-12
26 ; 1512076648608 ; -3352.195 ;  1814.722 ; storm.mi ; 2017-333-13
27 ; 1512076648480 ; -3352.195 ;  1814.722 ; storm.mi ; 2017-333-13
28 ; 1512080171005 ; -3352.418 ;  1814.292 ; storm.mi ; 2017-333-14
29 ; 1512080171280 ; -3352.418 ;  1814.292 ; storm.mi ; 2017-333-14
30 ; 1512080171476 ; -3352.418 ;  1814.292 ; storm.mi ; 2017-333-14
31 ; 1512080170872 ; -3352.418 ;  1814.292 ; storm.mi ; 2017-333-14
32 ; 1512082006895 ; -3352.636 ;  1814.051 ; storm.mi ; 2017-333-14
33 ; 1512083646706 ; -3352.825 ;  1813.963 ; storm.mi ; 2017-333-14
34 ; 1512083646900 ; -3352.825 ;  1813.963 ; storm.mi ; 2017-333-14
35 ; 1512086312206 ; -3353.018 ;  1813.691 ; storm.mi ; 2017-333-14
36 ; 1512086312302 ; -3353.018 ;  1813.691 ; storm.mi ; 2017-333-14
37 ; 1512088053241 ; -3353.160 ;  1813.596 ; storm.mi ; 2017-333-14
38 ; 1512088052453 ; -3353.160 ;  1813.596 ; storm.mi ; 2017-333-14
39 ; 1512090036486 ; -3353.250 ;  1813.347 ; storm.mi ; 2017-333-14
40 ; 1512090035691 ; -3353.250 ;  1813.347 ; storm.mi ; 2017-333-14
41 ; 1512091943069 ; -3353.271 ;  1813.214 ; storm.mi ; 2017-333-14
42 ; 1512091943398 ; -3353.271 ;  1813.214 ; storm.mi ; 2017-333-14
43 ; 1512093932019 ; -3353.315 ;  1813.074 ; storm.mi ; 2017-333-14
44 ; 1512093931438 ; -3353.315 ;  1813.074 ; storm.mi ; 2017-333-14
45 ; 1512095812959 ; -3353.343 ;  1813.109 ; storm.mi ; 2017-333-14
46 ; 1512095813205 ; -3353.343 ;  1813.109 ; storm.mi ; 2017-333-14
47 ; 1512097687995 ; -3353.383 ;  1813.113 ; storm.mi ; 2017-333-14
48 ; 1512097687333 ; -3353.383 ;  1813.113 ; storm.mi ; 2017-333-14
